ten_quan,diem_trung_binh,dia_chi,gio_mo_cua,gia_ca,lat,lon,url_anh,diem_Không gian,diem_Vị trí,diem_Chất lượng,diem_Phục vụ,diem_Giá cả,thuc_don,url_goc
Út Phương - Cơm Gà Cháy Tỏi 35k - Quận 1,5.0,"577/46 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",Chưa mở cửa  08:30 - 17:00,Đang cập nhật,10.7567099000000,106.6832351000000,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m449utqu1ozz30,5.0,5.0,5.0,5.0,5.0,Cơm gà nước  mắm cháy tỏi(má hoặc đùi. Tại quán 35k) (40.000đ) | Mì  cay Hàn quốc ( Tại quán 40k) (55.000đ) | Cơm  gà sốt Hàn quốc(má hoặc đùi. Tại quán 35k) (40.000đ) | Mì tương đen Hàn quốc( Tại quán 40k) (55.000đ),https://www.foody.vn/ho-chi-minh/ut-phuong-com-ga-chay-toi-35k-quan-1
Passio Coffee - Sư Vạn Hạnh,_._,"581 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",Đang mở cửa  00:01 - 23:59,15.000đ - 50.000đ,10.7766480000000,106.6663620000000,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m1p2bddd2pub22,--,--,--,--,--,Bạc Xỉu (29.000đ) | Latte - Đá Viên (40.000đ) | Choco Đá Xay (39.000đ) | Cappuccino - Đá Viên (40.000đ) | Cà Phê Đen Đá (25.000đ) | Cà Phê Sữa Đá (29.000đ) | Americano - Đá Viên (35.000đ) | Latte - Đá Viên (40.000đ) | Bạc xỉu (29.000đ) | Chanh tuyết (35.000đ) | Cookie'n Đá Xay (39.000đ) | Cà Phê Đá Xay Vị Caramel (49.000đ) | Matcha Đá Xay (55.000đ) | Choco Đá Xay (39.000đ),https://www.foody.vn/ho-chi-minh/passio-coffee-su-van-hanh
Quán 2 Cô - Rau Câu & Xôi,_._,"39 Trương Hoàng Thanh, P. 12, Quận Tân Bình, TP. HCM",Chưa mở cửa  06:00 - 17:00,10.000đ - 300.000đ,10.7959000000000,106.6503980000000,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsv1tbwqo6ft2c,--,--,--,--,--,Bánh mì thịt nướng (24.000đ) | Bánh cuốn nem nướng (18.000đ) | Nem nướng (16.000đ) | Thịt lụi hương quê (20.000đ) | Kim chi hủ (60.000đ) | Kim chi thêm (12.000đ) | Bún thịt nướng+nem nướng (25.000đ) | Thịt heo chiên giòn kèm sốt phần 2-3 người (150.000đ) | Chà Bông Heo 500gr (280.000đ) | Chà Bông Heo 300gr (170.000đ) | Thịt Ngâm Nước Mắm 1200gr (230.000đ) | Chả da ớt siêm xanh 500gr (125.000đ) | Nem chua nhỏ 250gr (70.000đ) | Chả Lụa 500gr (125.000đ),https://www.foody.vn/ho-chi-minh/quan-2-co-rau-cau-xoi
Bánh Mì Halal - Quận 7,_._,"215 Trần Xuân Soạn, P. Tân Thuận Tây, Quận 7, TP. HCM",Đang mở cửa  08:00 - 21:00,Đang cập nhật,10.7519182000000,106.7177400000000,https://down-vn.img.susercontent.com/vn-11134259-7ras8-mal6arjuul6p4a,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/banh-mi-halal-quan-7
Nước Mía & Trà Tắc 33 - Nước Ép Trái Cây - Quận 11,_._,"444 Hồng Bàng, P. 16, Quận 11, TP. HCM",Đang mở cửa  09:00 - 21:00,Đang cập nhật,10.7538265000000,106.6488137000000,https://down-vn.img.susercontent.com/vn-11134513-7r98o-ltqhd2h95q8a56,--,--,--,--,--,Sâm Rong Biển Nhãn Nhục (15.000đ) | Sâm Thảo Mộc (15.000đ) | Sâm Mía Lau (15.000đ) | Bông Cúc (15.000đ) | Nước Mía Tắc (15.000đ) | Nước Mía Thơm (15.000đ) | Nước Mía Truyền Thống (15.000đ) | Nước Mía Dâu (20.000đ) | Hồng Trà Tắc (15.000đ) | Chanh Muối (20.000đ) | Dừa Xiêm (20.000đ) | Hồng Trà Dâu (20.000đ) | Trà Tắc Thái Xanh (20.000đ) | Trà Chanh Dây (20.000đ) | 0902866601 (1đ),https://www.foody.vn/ho-chi-minh/nuoc-mia-tra-tac-33-nuoc-ep-trai-cay-quan-11
Thực Phẩm Wefood - Võ Văn Kiệt,_._,"328 Võ Văn Kiệt, P. Cô Giang, Quận 1, TP. HCM",Chưa mở cửa  08:00 - 17:00,75.000đ - 275.000đ,10.7616717850063,106.6955342260884,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwftdf57qzmja8,--,--,--,--,--,"Eb viên thả lẩu 5in1 (110.000đ) | Eb cá phô mai, tàu hũ (109.000đ) | Eb cá viên singapore (89.000đ) | Bàu ngư hàn quốc (520.000đ) | Cá Trích ép trứng  2 thanh (240.000đ) | Lạp xưởng tươi trứng muối 500g (158.000đ) | Ốc Bulot Pháp 1kg (290.000đ)",https://www.foody.vn/ho-chi-minh/thuc-pham-wefood-vo-van-kiet
Tiệm Trà Mai Mai Quận 6 - Trà Sữa & Trà Trái Cây,_._,"36 Lô A Lý Chiêu Hoàng, P. 10, Quận 6, TP. HCM",Đang mở cửa  07:00 - 22:00,Đang cập nhật,10.7376854000000,106.6295480000000,https://down-vn.img.susercontent.com/vn-11134513-7r98o-luvoayhkxkwi5a,--,--,--,--,--,Trà sữa Thái xanh full topping (40.000đ) | Trà sữa khúc bạch (34.000đ) | Trà sữa phô mai viên (35.000đ) | Trà sữa truyền thống full topping (40.000đ) | Trà sữa trân châu trắng kem muối (35.000đ) | Trà sữa socola full topping (40.000đ) | Trà sữa truyền thống trân châu trắng (giòn) (32.000đ) | Trà sữa phô mai nghiền trân châu (40.000đ) | Trà sữa khoai môn fulltopping (40.000đ) | Trà sữa bạc hà full topping (40.000đ) | Trà sữa matcha fulltopping (40.000đ) | Sữa tươi trân châu đường đen (32.000đ) | Sữa gấu thái lan cacao trân châu (44.000đ) | Sữa tươi matcha  (trân châu) (32.000đ) | Sữa gấu thái lan matcha trân châu (44.000đ) | Sữa gấu thái lan cafe trân châu (44.000đ) | Sữa tươi coffee trân châu (32.000đ),https://www.foody.vn/ho-chi-minh/tiem-tra-mai-mai-quan-6-tra-sua-tra-trai-cay
Căn Bếp Gác Mái - Tiệm Bánh - Quận 10,_._,"384/60A Lý Thái Tổ, P. 10, Quận 10, TP. HCM",Chưa mở cửa  07:00 - 18:00,Đang cập nhật,10.7678561000000,106.6738613000000,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvh7awoib2x90,--,--,--,--,--,Bánh flan (9.000đ) | Tiramisu hộp oval (50.000đ) | Gato flan (50.000đ) | Pizza mini (35.000đ) | Bông Lan trứng muối sốt phô mai (45.000đ) | Set chà bông 5c (30.000đ) | Bánh mặn xúc xích rau củ (25.000đ) | Sandwich Lạt (32.000đ) | Sandwich ngũ cốc nguyên cám (38.000đ) | Tart trứng (14.000đ) | Paparoti cà phê nhân socola (19.000đ) | Cua phô mai (19.000đ) | Chuối nướng không đường (32.000đ) | Bánh mềm dừa phô mai (19.000đ),https://www.foody.vn/ho-chi-minh/can-bep-gac-mai-tiem-banh-quan-10
Dê Tươi Ninh Bình - Quận 12,_._,"113/4 Hà Huy Giáp, P. Thạnh Lộc, Quận 12, TP. HCM",Đang mở cửa  10:00 - 23:00,5.000đ - 600.000đ,10.8556670000000,106.6794596000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw94vy2trjrv84,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/de-tuoi-ninh-binh-quan-12
Bún Bò - Phạm Văn Đồng,8.0,"13 Phạm Văn Đồng, P. 3, Quận Gò Vấp, TP. HCM",Chưa mở cửa  06:00 - 12:00,20.000đ - 25.000đ,10.8152887315953,106.6811205446720,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwg926mr5pehc5,8.0,8.0,8.0,8.0,8.0,,https://www.foody.vn/ho-chi-minh/bun-bo-pham-van-dong
