name,rating,total_reviews,category,review,address,lat,lon,geocode_confidence,found_address
Phở Mong 24H- Phở cổ Việt Nam - Phòng thoáng mát,4.7,501,Nhà hàng phở,,242 Khánh Hội,10.7590567,106.6988864,1.0,"242, Khánh Hội, Ho Chi Minh City, HC, Vietnam"
Hàng Dương Quán Quận 1,4.5,623,Nhà hàng,"Quán ăn ngon, view đẹp, nhân viên nhiệt tình.",32-34 Ngô Đức Kế,10.773851909363788,106.70574269708725,0.5,"32-34, Ngo Duc Ke Street, Saigon, Ho Chi Minh City, 71006, Vietnam"
Mỳ Quảng Bà Mua Chi Nhánh Quận 1,4.6,391,Quán mì,"Món ăn của quán ngon, nhân viên nhiệt tình, 10 điểm cho.",Hẻm 60A Lê Thị Riêng,10.781971,106.693081,0.5,"Ho Chi Minh City, HC, Vietnam"
Cơm Niêu Chú Chen - Quận 1,4.8,309,Nhà hàng cơm,"Cơm ngon, không gian quán đẹp, sạch sẽ, các bạn nhân viên dễ thương.",283 Nguyễn Trãi,10.7562568,106.6761611,1.0,"283, Đường Nguyễn Trãi, Ho Chi Minh City, HC 72760, Vietnam"
Ăn Cơm Uống Nước - Thai Bistro & Coffee,4.4,932,Món ăn Thái Lan,"Quán dễ thương, đồ ăn ngon, nhân viên đẹp trai.",63/18 Pasteur,10.775646153355105,106.70043655277055,0.5,"Pasteur Street, Saigon, Ho Chi Minh City, 71006, Vietnam"
QUÁN ĂN CÔ NĂM,4.9,25,Quán ăn nhỏ,"Quán làm ngon, xin thêm sate hay rau đều cho đủ.",212B/E19 Nguyễn Trãi,10.753122,106.651328,0.5,"Nguyễn Trãi, Ho Chi Minh City, HC, Vietnam"
DÊ CHÚ THÒONG | DÊ NGON CỐNG QUỲNH | DÊ NGON QUẬN 1,5.0,48,Nhà hàng,"Món ăn ngon, nhân viên nhiệt tình, không gian quán rất đẹp.",102 Cống Quỳnh,10.7650428,106.6912251,0.95,"Green Suites Hotel, 102/1, Cong Quynh Street, Ho Chi Minh City, HC 70200, Vietnam"
Bếp Nhà Lục Tỉnh,4.0,1769,Món ăn Việt Nam,"Cảnh trí quán đẹp, nhân viên quá sức nhiệt tình, đồ ăn thì khỏi phải bàn.",37 Nam Kỳ Khởi Nghĩa,10.7695553,106.70177,1.0,"37, Nam Kỳ Khởi Nghĩa, Ho Chi Minh City, HC, Vietnam"
Quán ăn ngon Sài Gòn,4.0,965,Nhà hàng,"Quán đẹp, nước và món ăn vừa vị.",138 Nam Kỳ Khởi Nghĩa,10.7775622,106.69754019924534,1.0,"Quán Ngon 138, 138, Nam Kỳ Khởi Nghĩa, Saigon, Ho Chi Minh City, HC 71006, Vietnam"
Trần Ký Mì Gia | Tiệm Mì Quận 1 | Mì Người Hoa Quận 1,4.7,86,Món ăn Trung Quốc,Tiệm mì người hoa quận 1 - mì tươi.,127 Ký Con,10.7673804,106.6982687,1.0,"127, Đường Ký Con, Ho Chi Minh City, HC, Vietnam"
Nhà hàng Vee Ayy,4.3,989,Nhà hàng,"Quán xinh, nhân viên lịch sự, được huấn luyện nhiều thứ nhỏ nhặt.",345/84 Trần Hưng Đạo,10.7519234,106.6615874,0.95,"345, Tran Hung Dao Street, Cholon, Ho Chi Minh City, 73000, Vietnam"
Poke Saigon,4.8,2321,Món ăn Hawai,"Nói chung là đa dạng hơn mình từng tưởng, vừa ngon miệng vừa tươi.","Second floor, 42 Nguyễn Huệ",10.7740557,106.7041347,1.0,"Cà Phê Boo, 42, Nguyen Hue Boulevard, Saigon, Ho Chi Minh City, 80000, Vietnam"
Morico Lê Lợi,4.6,2719,Món ăn Nhật Bản,"Không gian quán rộng rãi sang trọng, thức ăn ngon, được nêm nếm vừa phải.",30 Lê Lợi,10.862366,106.609528,0.5,"30, Lê Lợi, Ho Chi Minh City, HC, Vietnam"
QUÁN ĂN NGON - Nguyên Sinh Bistro - est. 1942,4.9,2863,Nhà hàng,"Quán không gian đẹp, đồ ăn có cả chay và mặn đều.",141 Trần Đình Xu,10.761662,106.68966,1.0,"141, Trần Ðình Xu, Ho Chi Minh City, HC, Vietnam"
Nhà hàng Mì Ý Double B,4.3,2281,Món ăn Ý,"Quán nằm trong hẻm, không gian hơi nhỏ Các món ngon, vừa miệng.",TK40/24 Trần Hưng Đạo,10.7677119,106.6949723,0.5,"24, Đường Trần Hưng Đạo, Ho Chi Minh City, HC, Vietnam"
Bún Thịt Nướng Chị Tuyền,4.4,560,Nhà hàng,"Quán hơi chật xíu nhưng giá cả vừa phải và phần ăn khá no, nhiều rau thịt.",175c Cô Giang,10.79634,106.683637,0.5,"175c, Cô Giang, Ho Chi Minh City, HC, Vietnam"
